CustomerID,ChurnStatus,Age,Gender,MaritalStatus,IncomeLevel,TransactionID,TransactionDate,AmountSpent,ProductCategory,InteractionID,InteractionDate,InteractionType,ResolutionStatus,LastLoginDate,LoginFrequency,ServiceUsage,DaysSinceLastLogin,TransactionMonth,TransactionYear
1,0,62,M,Single,Low,7194,2022-03-27,416.5,Electronics,6363.0,2022-03-31,Inquiry,Resolved,2023-10-21,34,Mobile App,904,3,2022
2,1,65,M,Married,Low,8903,2022-01-09,285.21,Electronics,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,859,1,2022
2,1,65,M,Married,Low,2998,2022-01-25,101.31,Furniture,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,859,1,2022
2,1,65,M,Married,Low,1228,2022-07-24,397.37,Clothing,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,859,7,2022
2,1,65,M,Married,Low,9660,2022-07-25,197.5,Electronics,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,859,7,2022
2,1,65,M,Married,Low,7250,2022-08-08,54.96,Clothing,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,859,8,2022
2,1,65,M,Married,Low,3527,2022-09-16,311.34,Electronics,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,859,9,2022
2,1,65,M,Married,Low,9279,2022-11-19,199.73,Groceries,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,859,11,2022
3,0,18,M,Single,Low,7329,2022-02-11,403.32,Furniture,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,879,2,2022
3,0,18,M,Single,Low,7806,2022-03-02,299.86,Groceries,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,879,3,2022
3,0,18,M,Single,Low,1646,2022-07-09,287.72,Groceries,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,879,7,2022
3,0,18,M,Single,Low,7364,2022-08-15,51.07,Clothing,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,879,8,2022
3,0,18,M,Single,Low,4967,2022-09-17,419.95,Furniture,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,879,9,2022
3,0,18,M,Single,Low,9839,2022-10-08,241.06,Books,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,879,10,2022
4,0,21,M,Widowed,Low,7670,2022-05-22,382.39,Furniture,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,961,5,2022
4,0,21,M,Widowed,Low,7670,2022-05-22,382.39,Furniture,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,961,5,2022
4,0,21,M,Widowed,Low,3394,2022-07-31,125.64,Electronics,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,961,7,2022
4,0,21,M,Widowed,Low,3394,2022-07-31,125.64,Electronics,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,961,7,2022
4,0,21,M,Widowed,Low,1211,2022-12-01,123.59,Groceries,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,961,12,2022
4,0,21,M,Widowed,Low,1211,2022-12-01,123.59,Groceries,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,961,12,2022
4,0,21,M,Widowed,Low,4235,2022-12-22,241.45,Electronics,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,961,12,2022
4,0,21,M,Widowed,Low,4235,2022-12-22,241.45,Electronics,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,961,12,2022
4,0,21,M,Widowed,Low,3419,2022-12-27,44.22,Clothing,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,961,12,2022
4,0,21,M,Widowed,Low,3419,2022-12-27,44.22,Clothing,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,961,12,2022
5,0,21,M,Divorced,Medium,1742,2022-02-21,475.69,Groceries,-1.0,2022-07-02,Unknown,Unknown,2023-10-27,41,Website,898,2,2022
5,0,21,M,Divorced,Medium,9249,2022-05-25,69.86,Groceries,-1.0,2022-07-02,Unknown,Unknown,2023-10-27,41,Website,898,5,2022
5,0,21,M,Divorced,Medium,5357,2022-07-04,308.8,Electronics,-1.0,2022-07-02,Unknown,Unknown,2023-10-27,41,Website,898,7,2022
5,0,21,M,Divorced,Medium,9349,2022-08-12,178.91,Furniture,-1.0,2022-07-02,Unknown,Unknown,2023-10-27,41,Website,898,8,2022
5,0,21,M,Divorced,Medium,6791,2022-08-31,219.98,Furniture,-1.0,2022-07-02,Unknown,Unknown,2023-10-27,41,Website,898,8,2022
5,0,21,M,Divorced,Medium,4938,2022-10-21,155.76,Electronics,-1.0,2022-07-02,Unknown,Unknown,2023-10-27,41,Website,898,10,2022
5,0,21,M,Divorced,Medium,7200,2022-12-02,373.51,Groceries,-1.0,2022-07-02,Unknown,Unknown,2023-10-27,41,Website,898,12,2022
5,0,21,M,Divorced,Medium,7592,2022-12-21,218.98,Electronics,-1.0,2022-07-02,Unknown,Unknown,2023-10-27,41,Website,898,12,2022
6,0,57,F,Divorced,Medium,8661,2022-07-03,104.0,Furniture,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,938,7,2022
6,0,57,F,Divorced,Medium,6237,2022-08-09,41.7,Furniture,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,938,8,2022
6,0,57,F,Divorced,Medium,6635,2022-08-11,365.57,Books,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,938,8,2022
6,0,57,F,Divorced,Medium,9155,2022-10-18,204.16,Electronics,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,938,10,2022
6,0,57,F,Divorced,Medium,3772,2022-10-29,448.86,Clothing,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,938,10,2022
7,0,27,F,Married,High,8762,2022-10-24,86.73,Books,-1.0,2022-07-02,Unknown,Unknown,2023-01-07,32,Mobile App,1191,10,2022
8,1,37,M,Single,Low,9841,2022-03-10,297.33,Furniture,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1086,3,2022
8,1,37,M,Single,Low,9841,2022-03-10,297.33,Furniture,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1086,3,2022
8,1,37,M,Single,Low,6171,2022-06-10,346.24,Clothing,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1086,6,2022
8,1,37,M,Single,Low,6171,2022-06-10,346.24,Clothing,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1086,6,2022
8,1,37,M,Single,Low,1383,2022-07-06,240.92,Books,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1086,7,2022
8,1,37,M,Single,Low,1383,2022-07-06,240.92,Books,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1086,7,2022
8,1,37,M,Single,Low,1807,2022-07-13,253.68,Furniture,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1086,7,2022
8,1,37,M,Single,Low,1807,2022-07-13,253.68,Furniture,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1086,7,2022
8,1,37,M,Single,Low,5759,2022-09-26,161.56,Electronics,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1086,9,2022
8,1,37,M,Single,Low,5759,2022-09-26,161.56,Electronics,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1086,9,2022
8,1,37,M,Single,Low,4215,2022-10-25,263.24,Books,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1086,10,2022
8,1,37,M,Single,Low,4215,2022-10-25,263.24,Books,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1086,10,2022
8,1,37,M,Single,Low,2500,2022-11-09,483.91,Clothing,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1086,11,2022
8,1,37,M,Single,Low,2500,2022-11-09,483.91,Clothing,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1086,11,2022
9,0,39,M,Divorced,High,9647,2022-01-13,44.26,Groceries,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,1020,1,2022
9,0,39,M,Divorced,High,4713,2022-05-26,325.96,Clothing,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,1020,5,2022
9,0,39,M,Divorced,High,7332,2022-06-02,96.67,Electronics,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,1020,6,2022
9,0,39,M,Divorced,High,4938,2022-06-11,472.21,Clothing,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,1020,6,2022
9,0,39,M,Divorced,High,9438,2022-10-19,378.14,Groceries,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,1020,10,2022
10,1,68,M,Married,High,7393,2022-01-19,471.18,Furniture,-1.0,2022-07-02,Unknown,Unknown,2023-01-13,29,Online Banking,1185,1,2022
10,1,68,M,Married,High,5096,2022-06-05,179.0,Groceries,-1.0,2022-07-02,Unknown,Unknown,2023-01-13,29,Online Banking,1185,6,2022
10,1,68,M,Married,High,5052,2022-08-02,303.4,Groceries,-1.0,2022-07-02,Unknown,Unknown,2023-01-13,29,Online Banking,1185,8,2022
10,1,68,M,Married,High,3487,2022-09-07,5.86,Furniture,-1.0,2022-07-02,Unknown,Unknown,2023-01-13,29,Online Banking,1185,9,2022
10,1,68,M,Married,High,4074,2022-09-08,223.85,Furniture,-1.0,2022-07-02,Unknown,Unknown,2023-01-13,29,Online Banking,1185,9,2022
10,1,68,M,Married,High,9067,2022-09-10,178.78,Electronics,-1.0,2022-07-02,Unknown,Unknown,2023-01-13,29,Online Banking,1185,9,2022
